Count of name,Column Labels,,,,,,,,,
Row Labels,Outside Capital City,Within Capital City,Grand Total,,,,,,,
 Edmonton,1,,1,,,,,,,
 Edna,1,,1,,,,,,,
 Edwards,1,,1,,,,,,,
 Edwardsville,1,,1,,,,,,,
 Effingham,6,,6,,,,,,,
 El Cajon,7,,7,,,,,,,
 El Centro,1,,1,,,,,,,
 El Cerrito,1,,1,,,,,,,
 El Dorado,1,,1,,,,,,,
 El Dorado Springs,1,,1,,,,,,,
 El Monte,4,,4,,,,,,,
 El Paso,19,,19,,,,,,,
 El Sobrante,1,,1,,,,,,,
 Elberton,2,,2,,,,,,,
 Elgin,6,,6,,,,,,,
 Elizabeth City,2,,2,,,,,,,
 Elizabethton,1,,1,,,,,,,
 Elizabethtown,7,,7,,,,,,,
 Elk City,4,,4,,,,,,,
 Elk Grove,1,,1,,,,,,,
 Elk Grove Village,2,,2,,,,,,,
 Elkhart,2,,2,,,,,,,
 Elkins,1,,1,,,,,,,
 Elko,1,,1,,,,,,,
 Elkridge,1,,1,,,,,,,
 Elkton,3,,3,,,,,,,
 Elkview,1,,1,,,,,,,
 Ellicott City,4,,4,,,,,,,
 Ellijay,3,,3,,,,,,,
 Ellsworth,2,,2,,,,,,,
 Ellwood City,1,,1,,,,,,,
 Elmont,1,,1,,,,,,,
 Elmwood Park,4,,4,,,,,,,
 Eloy,1,,1,,,,,,,
 Elsa,1,,1,,,,,,,
 Elyria,3,,3,,,,,,,
 Emmett,1,,1,,,,,,,
 Emmitsburg,1,,1,,,,,,,
 Emporia,1,,1,,,,,,,
 Encinitas,1,,1,,,,,,,
 Encino,1,,1,,,,,,,
 Endicott,3,,3,,,,,,,
 Englewood,3,,3,,,,,,,
 Englishtown,1,,1,,,,,,,
 Enid,2,,2,,,,,,,
 Ennis,3,,3,,,,,,,
 Enoree,1,,1,,,,,,,
 Enosburg Falls,1,,1,,,,,,,
 Enumclaw,1,,1,,,,,,,
 Ephrata,2,,2,,,,,,,
 Erie,10,,10,,,,,,,
 Ermine,1,,1,,,,,,,
 Erwin,1,,1,,,,,,,
 Escanaba,1,,1,,,,,,,
